date,city,state,city_ibge_code,case_inc,death_inc
2020-09-20,Joaquim Gomes,AL,2703809,0,0
2020-09-21,Joaquim Gomes,AL,2703809,0,0
2020-09-22,Joaquim Gomes,AL,2703809,10,0
2020-09-23,Joaquim Gomes,AL,2703809,11,0
2020-09-24,Joaquim Gomes,AL,2703809,0,0
2020-09-25,Joaquim Gomes,AL,2703809,1,0
2020-09-26,Joaquim Gomes,AL,2703809,0,0
2020-09-27,Joaquim Gomes,AL,2703809,0,0
2020-09-28,Joaquim Gomes,AL,2703809,6,0
2020-09-29,Joaquim Gomes,AL,2703809,4,0
2020-09-30,Joaquim Gomes,AL,2703809,0,0
2020-10-01,Joaquim Gomes,AL,2703809,0,0
2020-10-02,Joaquim Gomes,AL,2703809,6,0
2020-10-03,Joaquim Gomes,AL,2703809,3,0
2020-10-04,Joaquim Gomes,AL,2703809,2,0
2020-10-05,Joaquim Gomes,AL,2703809,0,0
2020-10-06,Joaquim Gomes,AL,2703809,9,0
2020-10-07,Joaquim Gomes,AL,2703809,8,0
2020-10-08,Joaquim Gomes,AL,2703809,0,0
2020-10-09,Joaquim Gomes,AL,2703809,1,0
2020-10-10,Joaquim Gomes,AL,2703809,0,0
2020-10-11,Joaquim Gomes,AL,2703809,0,0
2020-10-12,Joaquim Gomes,AL,2703809,0,0
2020-10-13,Joaquim Gomes,AL,2703809,0,0
2020-10-14,Joaquim Gomes,AL,2703809,3,0
2020-10-15,Joaquim Gomes,AL,2703809,1,0
2020-10-16,Joaquim Gomes,AL,2703809,2,0
2020-10-17,Joaquim Gomes,AL,2703809,0,0
2020-10-18,Joaquim Gomes,AL,2703809,0,0
2020-10-19,Joaquim Gomes,AL,2703809,0,0
2020-10-20,Joaquim Gomes,AL,2703809,4,0
2020-10-21,Joaquim Gomes,AL,2703809,1,0
2020-10-22,Joaquim Gomes,AL,2703809,2,0
2020-10-23,Joaquim Gomes,AL,2703809,0,0
2020-10-24,Joaquim Gomes,AL,2703809,0,0
2020-10-25,Joaquim Gomes,AL,2703809,0,0
