region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Palmeira dos Índios,2020-09-30,,estimate,-0.022,-0.021,0.017,-0.047,-0.03,-0.025,-0.019,-0.014,0.008
Penedo,2020-10-03,,estimate,-0.021,-0.026,0.027,-0.077,-0.039,-0.026,-0.016,-0.009,0.008
Penedo,2020-10-24,,estimate,-0.021,-0.022,0.028,-0.07,-0.04,-0.028,-0.016,-0.007,0.023
Penedo,2020-10-23,,estimate,-0.021,-0.022,0.028,-0.068,-0.039,-0.027,-0.016,-0.006,0.024
Penedo,2020-10-22,,estimate,-0.021,-0.022,0.028,-0.067,-0.038,-0.028,-0.016,-0.007,0.024
Penedo,2020-10-20,,estimate,-0.021,-0.022,0.028,-0.066,-0.039,-0.027,-0.016,-0.008,0.024
Penedo,2020-10-19,,estimate,-0.021,-0.022,0.028,-0.066,-0.038,-0.027,-0.016,-0.008,0.023
Penedo,2020-10-21,,estimate,-0.021,-0.022,0.028,-0.066,-0.038,-0.027,-0.015,-0.007,0.025
Palmeira dos Índios,2020-10-01,,estimate,-0.021,-0.021,0.017,-0.048,-0.03,-0.024,-0.019,-0.013,0.008
Palmeira dos Índios,2020-10-03,,estimate,-0.021,-0.021,0.017,-0.048,-0.029,-0.024,-0.018,-0.013,0.007
Palmeira dos Índios,2020-10-02,,estimate,-0.021,-0.021,0.017,-0.047,-0.029,-0.024,-0.018,-0.013,0.007
Penedo,2020-10-02,,estimate,-0.02,-0.025,0.027,-0.077,-0.038,-0.025,-0.015,-0.008,0.01
Palmeira dos Índios,2020-10-06,,estimate,-0.02,-0.02,0.017,-0.049,-0.028,-0.023,-0.017,-0.012,0.007
Palmeira dos Índios,2020-10-05,,estimate,-0.02,-0.02,0.017,-0.048,-0.028,-0.023,-0.017,-0.012,0.007
Palmeira dos Índios,2020-10-04,,estimate,-0.02,-0.02,0.017,-0.047,-0.029,-0.023,-0.018,-0.013,0.007
Marechal Deodoro,2020-10-08,,estimate,-0.02,-0.018,0.034,-0.069,-0.04,-0.028,-0.011,0.002,0.041
Palmeira dos Índios,2020-10-07,,estimate,-0.019,-0.019,0.017,-0.049,-0.027,-0.022,-0.016,-0.011,0.008
Palmeira dos Índios,2020-10-08,,estimate,-0.019,-0.019,0.017,-0.048,-0.027,-0.022,-0.016,-0.011,0.008
Penedo,2020-10-01,,estimate,-0.018,-0.023,0.027,-0.075,-0.036,-0.024,-0.014,-0.007,0.012
Palmeira dos Índios,2020-10-09,,estimate,-0.018,-0.018,0.018,-0.047,-0.027,-0.022,-0.015,-0.01,0.009
Palmeira dos Índios,2020-10-10,,estimate,-0.018,-0.018,0.018,-0.046,-0.026,-0.021,-0.015,-0.009,0.01
Santana do Ipanema,2020-10-13,,estimate,-0.018,-0.018,0.028,-0.068,-0.036,-0.024,-0.011,-0.001,0.027
Penedo,2020-09-30,,estimate,-0.017,-0.022,0.027,-0.073,-0.034,-0.022,-0.012,-0.006,0.013
Palmeira dos Índios,2020-10-11,,estimate,-0.017,-0.017,0.018,-0.046,-0.026,-0.02,-0.014,-0.008,0.011
Palmeira dos Índios,2020-10-12,,estimate,-0.017,-0.017,0.018,-0.045,-0.025,-0.02,-0.013,-0.007,0.012
Arapiraca,2020-10-05,,estimate,-0.017,-0.016,0.021,-0.048,-0.029,-0.022,-0.013,-0.004,0.019
Palmeira dos Índios,2020-10-13,,estimate,-0.016,-0.016,0.018,-0.044,-0.024,-0.019,-0.012,-0.006,0.012
Palmeira dos Índios,2020-10-14,,estimate,-0.016,-0.015,0.018,-0.043,-0.024,-0.019,-0.012,-0.006,0.014
Penedo,2020-09-29,,estimate,-0.015,-0.02,0.026,-0.07,-0.031,-0.02,-0.011,-0.005,0.015
Palmeira dos Índios,2020-10-15,,estimate,-0.015,-0.014,0.018,-0.042,-0.023,-0.018,-0.011,-0.005,0.014
Marechal Deodoro,2020-10-09,,estimate,-0.015,-0.013,0.036,-0.064,-0.037,-0.023,-0.007,0.006,0.053
Coruripe,2020-09-22,,estimate,-0.014,-0.018,0.017,-0.05,-0.023,-0.017,-0.012,-0.008,0.002
Coruripe,2020-09-23,,estimate,-0.014,-0.018,0.018,-0.052,-0.023,-0.017,-0.011,-0.007,0.002
Coruripe,2020-09-24,,estimate,-0.014,-0.017,0.018,-0.052,-0.023,-0.016,-0.011,-0.007,0.003
Palmeira dos Índios,2020-10-16,,estimate,-0.014,-0.013,0.018,-0.041,-0.023,-0.017,-0.01,-0.003,0.017
Maceió,2020-10-13,,estimate,-0.014,-0.012,0.031,-0.058,-0.032,-0.022,-0.007,0.005,0.04
Coruripe,2020-09-25,,estimate,-0.013,-0.017,0.018,-0.052,-0.022,-0.016,-0.011,-0.007,0.004
Penedo,2020-09-28,,estimate,-0.013,-0.017,0.026,-0.068,-0.029,-0.018,-0.01,-0.003,0.018
Coruripe,2020-09-26,,estimate,-0.013,-0.016,0.018,-0.049,-0.022,-0.015,-0.01,-0.006,0.006
Palmeira dos Índios,2020-10-17,,estimate,-0.013,-0.012,0.018,-0.039,-0.022,-0.017,-0.009,-0.003,0.02
Coruripe,2020-09-27,,estimate,-0.012,-0.015,0.017,-0.047,-0.021,-0.015,-0.01,-0.006,0.007
Penedo,2020-09-27,,estimate,-0.012,-0.015,0.026,-0.064,-0.026,-0.016,-0.008,-0.002,0.02
Coruripe,2020-09-28,,estimate,-0.012,-0.014,0.017,-0.044,-0.02,-0.014,-0.009,-0.006,0.009
Santana do Ipanema,2020-10-14,,estimate,-0.012,-0.012,0.028,-0.059,-0.029,-0.018,-0.006,0.005,0.033
Palmeira dos Índios,2020-10-18,,estimate,-0.012,-0.011,0.019,-0.038,-0.022,-0.016,-0.008,-0.001,0.021
Coruripe,2020-09-29,,estimate,-0.011,-0.013,0.016,-0.043,-0.019,-0.014,-0.009,-0.005,0.011
Palmeira dos Índios,2020-10-19,,estimate,-0.011,-0.01,0.019,-0.038,-0.021,-0.016,-0.007,0,0.023
Palmeira dos Índios,2020-10-20,,estimate,-0.011,-0.009,0.02,-0.038,-0.021,-0.015,-0.007,0.001,0.024
Marechal Deodoro,2020-10-10,,estimate,-0.011,-0.007,0.037,-0.059,-0.032,-0.018,-0.003,0.011,0.062
